mu,xi,sigma,q005,q095
93.082,-0.14676,8.904,87.324,93.087
93.082,-0.13889,8.915,87.181,93.085
93.082,-0.13102,8.9259,87.034,93.084
93.082,-0.12315,8.9369,86.883,93.083
93.082,-0.11528,8.9477,86.729,93.083
93.082,-0.10741,8.9586,86.57,93.082
93.082,-0.099535,8.9695,86.408,93.082
93.082,-0.091665,8.9803,86.242,93.082
93.082,-0.083794,8.9911,86.072,93.082
93.082,-0.075923,9.0019,85.897,93.082
93.082,-0.068052,9.0127,85.719,93.082
93.082,-0.060181,9.0234,85.536,93.082
93.203,-0.8394,7.9061,92.549,95.342
93.203,-0.83153,7.919,92.533,95.319
93.203,-0.82366,7.9318,92.516,95.296
93.203,-0.81579,7.9446,92.499,95.273
93.203,-0.80792,7.9574,92.481,95.249
93.203,-0.80005,7.9701,92.462,95.225
93.203,-0.79217,7.9828,92.444,95.201
93.203,-0.7843,7.9955,92.425,95.177
93.203,-0.77643,8.0082,92.405,95.152
93.203,-0.76856,8.0209,92.385,95.127
93.203,-0.76069,8.0335,92.364,95.102
93.203,-0.75282,8.0461,92.343,95.076
93.203,-0.74495,8.0587,92.321,95.05
93.203,-0.73708,8.0713,92.299,95.024
93.203,-0.72921,8.0838,92.276,94.998
93.203,-0.72134,8.0964,92.253,94.972
93.203,-0.71347,8.1089,92.229,94.945
93.203,-0.70559,8.1213,92.204,94.918
93.203,-0.69772,8.1338,92.179,94.891
93.203,-0.68985,8.1462,92.153,94.863
93.203,-0.68198,8.1586,92.127,94.836
93.203,-0.67411,8.171,92.099,94.808
93.203,-0.66624,8.1834,92.072,94.779
93.203,-0.65837,8.1957,92.043,94.751
93.203,-0.6505,8.208,92.014,94.722
93.203,-0.64263,8.2203,91.984,94.694
93.203,-0.63476,8.2326,91.953,94.664
93.203,-0.62689,8.2448,91.922,94.635
93.203,-0.61901,8.2571,91.89,94.606
93.203,-0.61114,8.2693,91.857,94.576
93.203,-0.60327,8.2814,91.823,94.546
93.203,-0.5954,8.2936,91.788,94.516
93.203,-0.58753,8.3057,91.752,94.486
93.203,-0.57966,8.3178,91.716,94.456
93.203,-0.57179,8.3299,91.679,94.425
93.203,-0.56392,8.342,91.64,94.395
93.203,-0.55605,8.354,91.601,94.364
93.203,-0.54818,8.366,91.561,94.333
93.203,-0.54031,8.378,91.519,94.302
93.203,-0.53243,8.39,91.477,94.271
93.203,-0.52456,8.4019,91.434,94.24
93.203,-0.51669,8.4138,91.389,94.209
93.203,-0.50882,8.4257,91.344,94.178
93.203,-0.50095,8.4376,91.297,94.147
93.203,-0.49308,8.4495,91.249,94.116
93.203,-0.48521,8.4613,91.2,94.085
93.203,-0.47734,8.4731,91.15,94.054
93.203,-0.46947,8.4849,91.099,94.023
93.203,-0.4616,8.4967,91.046,93.992
93.203,-0.45373,8.5084,90.992,93.961
93.203,-0.44586,8.5201,90.936,93.93
93.203,-0.43798,8.5318,90.88,93.9
93.203,-0.43011,8.5435,90.822,93.869
93.203,-0.42224,8.5551,90.762,93.839
93.203,-0.41437,8.5667,90.701,93.809
93.203,-0.4065,8.5783,90.638,93.78
93.203,-0.39863,8.5899,90.574,93.751
93.203,-0.39076,8.6015,90.508,93.722
93.203,-0.38289,8.613,90.441,93.693
93.203,-0.37502,8.6245,90.372,93.665
93.203,-0.36715,8.636,90.301,93.638
93.203,-0.35928,8.6474,90.228,93.611
93.203,-0.3514,8.6589,90.154,93.584
93.203,-0.34353,8.6703,90.077,93.558
93.203,-0.33566,8.6817,89.999,93.533
93.203,-0.32779,8.6931,89.919,93.509
93.203,-0.31992,8.7044,89.837,93.485
93.203,-0.31205,8.7157,89.753,93.462
93.203,-0.30418,8.727,89.667,93.44
93.203,-0.29631,8.7383,89.579,93.418
93.203,-0.28844,8.7496,89.488,93.398
93.203,-0.28057,8.7608,89.395,93.378
93.203,-0.2727,8.772,89.3,93.36
93.203,-0.26482,8.7832,89.203,93.342
93.203,-0.25695,8.7943,89.103,93.326
93.203,-0.24908,8.8055,89.001,93.31
93.203,-0.24121,8.8166,88.896,93.296
93.203,-0.23334,8.8277,88.789,93.283
93.203,-0.22547,8.8388,88.679,93.271
93.203,-0.2176,8.8498,88.566,93.26
93.203,-0.20973,8.8608,88.45,93.25
93.203,-0.20186,8.8718,88.332,93.241
93.203,-0.19399,8.8828,88.21,93.234
93.203,-0.18612,8.8938,88.086,93.227
93.203,-0.17824,8.9047,87.958,93.222
93.203,-0.17037,8.9156,87.828,93.217
93.203,-0.1625,8.9265,87.694,93.213
93.203,-0.15463,8.9373,87.557,93.21
93.203,-0.14676,8.9482,87.416,93.208
93.203,-0.13889,8.959,87.272,93.206
93.203,-0.13102,8.9698,87.125,93.205
93.203,-0.12315,8.9806,86.973,93.204
93.203,-0.11528,8.9913,86.818,93.203
93.203,-0.10741,9.002,86.66,93.203
93.203,-0.099535,9.0127,86.497,93.203
93.203,-0.091665,9.0234,86.33,93.203
93.203,-0.083794,9.0341,86.159,93.203
93.203,-0.075923,9.0447,85.984,93.203
93.203,-0.068052,9.0553,85.805,93.203
93.203,-0.060181,9.0659,85.621,93.203
93.324,-0.8394,7.9635,92.665,95.479
93.324,-0.83153,7.9762,92.649,95.455
93.324,-0.82366,7.9889,92.632,95.432
93.324,-0.81579,8.0015,92.614,95.408
93.324,-0.80792,8.0142,92.596,95.385
93.324,-0.80005,8.0268,92.578,95.36
93.324,-0.79217,8.0393,92.559,95.336
93.324,-0.7843,8.0519,92.54,95.311
93.324,-0.77643,8.0644,92.52,95.286
93.324,-0.76856,8.0769,92.5,95.261
93.324,-0.76069,8.0894,92.479,95.236
93.324,-0.75282,8.1019,92.458,95.21
93.324,-0.74495,8.1143,92.436,95.184
93.324,-0.73708,8.1267,92.413,95.158
93.324,-0.72921,8.1391,92.39,95.131
93.324,-0.72134,8.1515,92.367,95.105
93.324,-0.71347,8.1638,92.343,95.078
93.324,-0.70559,8.1762,92.318,95.05
93.324,-0.69772,8.1885,92.293,95.023
93.324,-0.68985,8.2007,92.267,94.995
93.324,-0.68198,8.213,92.24,94.967
93.324,-0.67411,8.2252,92.213,94.939
93.324,-0.66624,8.2374,92.185,94.911
93.324,-0.65837,8.2496,92.156,94.882
93.324,-0.6505,8.2618,92.127,94.853
93.324,-0.64263,8.2739,92.097,94.824
93.324,-0.63476,8.286,92.066,94.795
93.324,-0.62689,8.2981,92.034,94.765
93.324,-0.61901,8.3102,92.002,94.736
93.324,-0.61114,8.3222,91.969,94.706
93.324,-0.60327,8.3343,91.935,94.676
93.324,-0.5954,8.3463,91.9,94.645
93.324,-0.58753,8.3582,91.864,94.615
93.324,-0.57966,8.3702,91.827,94.585
93.324,-0.57179,8.3821,91.79,94.554
93.324,-0.56392,8.394,91.751,94.523
93.324,-0.55605,8.4059,91.712,94.492
93.324,-0.54818,8.4178,91.671,94.461
93.324,-0.54031,8.4296,91.63,94.43
93.324,-0.53243,8.4414,91.587,94.399
93.324,-0.52456,8.4532,91.544,94.367
93.324,-0.51669,8.465,91.499,94.336
93.324,-0.50882,8.4767,91.453,94.305
93.324,-0.50095,8.4885,91.407,94.273
93.324,-0.49308,8.5002,91.359,94.242
93.324,-0.48521,8.5118,91.309,94.211
93.324,-0.47734,8.5235,91.259,94.179
93.324,-0.46947,8.5351,91.207,94.148
93.324,-0.4616,8.5467,91.154,94.117
93.324,-0.45373,8.5583,91.1,94.086
93.324,-0.44586,8.5699,91.044,94.055
93.324,-0.43798,8.5814,90.987,94.024
93.324,-0.43011,8.5929,90.929,93.994
93.324,-0.42224,8.6044,90.869,93.964
93.324,-0.41437,8.6159,90.807,93.934
93.324,-0.4065,8.6273,90.744,93.904
93.324,-0.39863,8.6388,90.68,93.875
93.324,-0.39076,8.6502,90.614,93.846
93.324,-0.38289,8.6616,90.546,93.817
93.324,-0.37502,8.6729,90.476,93.789
93.324,-0.36715,8.6842,90.405,93.761
93.324,-0.35928,8.6955,90.332,93.734
93.324,-0.3514,8.7068,90.258,93.707
93.324,-0.34353,8.7181,90.181,93.681
93.324,-0.33566,8.7293,90.103,93.656
93.324,-0.32779,8.7406,90.022,93.631
93.324,-0.31992,8.7517,89.94,93.607
93.324,-0.31205,8.7629,89.855,93.584
93.324,-0.30418,8.7741,89.769,93.562
93.324,-0.29631,8.7852,89.68,93.54
93.324,-0.28844,8.7963,89.589,93.52
93.324,-0.28057,8.8074,89.496,93.5
93.324,-0.2727,8.8184,89.401,93.481
93.324,-0.26482,8.8295,89.303,93.464
93.324,-0.25695,8.8405,89.202,93.447
