       Ene   Feb   Mar   Abr   May   Jun   Jul   Ago   Sep   Oct   Nov   Dic
  2    8.0   9.5  12.5  11.0  17.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
  3    5.0   9.5  15.0  12.0  17.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
  4    6.0  10.5  12.0  15.0  18.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
  5    7.0  10.5  12.0  15.0  15.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
  6    7.0  10.5  13.0  15.0  17.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
  7    6.0  11.0  13.5  15.0  17.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
  8    5.0  12.0  13.5  14.0  16.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
  9    7.5  11.0  14.0  10.0  17.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 10    9.5  10.5  13.0  10.0  16.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 11    9.0  10.0  14.0  12.0  15.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 12    9.5  10.0  13.0  12.5  13.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 13    7.0   7.5  13.5  11.0  12.5  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 14    5.0   7.0  12.5  11.0  13.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 15    4.0   7.0  11.0  12.0  15.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 16    5.5   6.5  12.0  14.5  14.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 17    4.4   6.0  11.0  15.0  13.5  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 18    7.0   7.5  10.5  16.0  14.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 19    4.0   5.0  13.0  16.0  15.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 20    5.0  10.0  13.0  16.0  13.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 21    8.0   9.0  10.0  16.0  14.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 22   11.0   8.0  11.0  13.0  12.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 23    9.0   8.5   9.0  16.0  12.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 24    5.0  10.0  11.0  15.5  11.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 25    6.5   9.5  12.0  16.0  12.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 26    7.5  10.0  14.0  16.5  11.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 27    7.0  11.0  14.0  16.0  11.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 28    6.0  12.0  12.0  17.0  11.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 29    9.0  ~~~~   6.0  16.0  11.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 30    7.0  ~~~~   6.5  13.0  13.0  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D  NO_D
 31    8.0  ~~~~   5.5  ~~~~  14.0  ~~~~  NO_D  NO_D  ~~~~  NO_D  ~~~~  NO_D

Clave 09036 lat= 19.38 long= -99.13 Año 2003
       Ene   Feb   Mar   Abr   May   Jun   Jul   Ago   Sep   Oct   Nov   Dic
  1    7.0   9.0  10.0   7.0  16.0  16.0  15.0  15.0  16.0  11.0  13.0   8.0
  2   10.0   9.0  10.0  10.0  17.0  14.0  13.0  14.0  14.0  10.0  13.0   9.0
  3   11.0   9.5  12.5  11.0  15.0  14.5  15.0  16.0  14.0  12.0  11.0   7.0
  4    9.0  10.0   9.5  13.0  16.0  13.0  13.0  16.0  13.0  13.0  12.0   6.0
  5   10.0   9.0  11.0  15.0  16.0  13.5  14.0  17.0  14.0  14.0  11.0   6.0
  6   11.0   9.5  12.0  14.0  17.0  15.0  15.5  13.0  13.5  14.0   9.0   9.0
  7    9.0  10.0  12.5  13.0  16.0  16.5  14.0  16.0  13.0  13.5   9.0   8.0
  8    9.0   9.0  13.0  13.0  15.0  17.0  15.0  15.0  15.0  13.5  13.0   6.0
  9    7.0   9.5  14.0  11.0  17.0  14.0  13.5  17.0  14.0  14.0  11.0   7.0
 10    9.0  10.0  10.0  11.0  16.0  13.0  12.0  15.0  15.0  14.0  12.0   9.0
 11    9.0  11.0  12.0  11.5  15.0  15.0  13.0  16.0  14.5  15.0  13.0   9.0
 12   11.0  10.0  13.0  12.0  16.0  16.0  13.5  18.0  14.0  14.0  11.0   8.0
 13   10.0   9.0  11.0  12.0  16.5  15.0  14.0  16.0  14.5  14.0  12.0   8.0
 14    7.0  11.0  13.0  13.0  13.0  15.5  15.0  14.0  15.0  13.0  13.0   8.0
 15    5.0   9.0  11.0  13.0  15.0  14.0  13.5  13.0  15.0  13.0  10.0   4.0
 16    5.0   9.0   9.0  14.0  16.0  13.0  14.5  15.0  14.0  14.0  10.0   5.0
 17    6.0   8.0   9.0  16.0  16.5  13.5  13.0  16.0  14.0  14.0  11.0   8.0
 18    6.0   9.0  10.0  16.0  14.0  14.0  13.0  14.0  15.0  13.0  11.0   4.0
 19    7.0  10.0   9.0  15.5  18.0  13.0  12.5  15.0  15.0  13.0  12.0   3.0
 20    5.0   9.0  10.0  15.0  15.0  14.0  14.0  13.0  15.5  12.0   7.0   2.0
 21    5.0   9.0   8.0  10.0  14.0  14.5  13.5  14.0  13.5  10.0  10.0   4.0
 22   10.0   8.0   9.0  11.0  14.5  14.0  13.0  13.5  15.0  11.0   9.0   3.0
 23    8.0   7.5  11.0  11.0  14.0  15.0  13.0  13.0  15.0  13.0  10.0   4.0
 24    7.0   7.0  11.5  12.0  14.0  15.5  13.5  14.0  16.0  12.0  11.0   4.0
 25    8.0   8.0  12.0  13.0  15.0  13.0  14.0  15.0  14.0  12.0  10.0   3.0
 26    7.0  10.0  10.0  14.0  13.0  13.0  14.5  15.0  15.0  13.0  10.0   5.0
 27    9.0   9.0  11.0  13.0  14.0  14.0  14.0  14.0  15.0  12.0  11.0   7.0
 28    7.0  13.0  12.0  14.0  14.0  16.0  13.5  15.0  14.0  12.0  11.0   8.0
 29    8.0  ~~~~  13.0  14.5  13.0  15.0  14.0  14.0  14.0  11.0   7.0  10.0
 30    9.0  ~~~~   9.0  13.0  14.0  13.5  15.5  16.0  13.0  10.0   9.0  11.0
 31   10.0  ~~~~   9.0  ~~~~  15.0  ~~~~  NO_D  15.0  ~~~~  11.0  ~~~~   9.0

Clave 09043 lat= 19.47 long= -99.07 Año 2003
       Ene   Feb   Mar   Abr   May   Jun   Jul   Ago   Sep   Oct   Nov   Dic
  1    6.5   5.5   9.0   5.0  15.0  14.0  13.5  14.0  14.5  11.5  12.5   8.5
  2    8.0   6.5   9.0   9.0  16.0  15.0  12.5  12.5  14.0   9.5  12.5   6.5
  3    3.0   7.0   9.5   8.5  14.5  14.5  14.5  11.0  14.5  13.0  11.5   5.5
  4    4.0   8.5   9.0  13.0  14.0  14.0  12.5  11.5  13.5  12.5  11.5   4.0
