mu,sigma,xi
107.3391883,14.437587,-1.75747036
104.801835,12.81537388,-0.979285411
107.9158382,12.68540922,-1.522847069
105.5656418,12.76560978,-1.233625524
110.9702661,16.84186511,-1.780436015
110.2739304,16.03056896,-3.813502447
106.3348631,13.86159125,-1.117864776
107.9832953,10.78840522,-2.122941409
108.7939044,13.92263365,-1.381254925
106.7200854,9.354440069,-4.661320958
104.5983133,13.48741687,-1.009157481
106.2608054,13.61876291,-1.58906485
106.5862716,13.95181835,-1.182686116
104.7836561,13.31167039,-1.859046772
111.5461047,17.8788756,-1.895105528
109.9521996,13.43624829,-1.959060875
107.1321891,13.1515521,-1.134918764
104.1779505,12.22969474,-1.014970502
108.46002,16.05161409,-1.470106123
105.7047654,11.96845896,-1.117744076
106.0210252,12.69192992,-3.373318114
107.5512849,13.68752426,-1.248163992
104.2007007,12.42351828,-1.168006561
105.1565717,13.00364773,-1.015668895
110.7255062,17.18505904,-1.708840626
107.8036802,10.22503144,-1.577445481
113.7550602,17.29089393,-2.180967925
105.3601305,12.47963468,-0.996140759
99.51942823,10.01126643,-1.131513522
106.198826,12.6480663,-1.030587376
109.4217253,15.41027069,-1.533001375
110.1084503,15.64341584,-5.975492834
106.6593847,12.90832825,-1.121848788
105.4318561,13.05959035,-1.45270818
103.9742652,10.81972515,-1.436172355
108.5410571,13.35303022,-1.319482877
105.3092759,12.36980817,-1.906943742
103.0944082,12.46676281,-2.625025501
106.5319972,13.54400216,-1.381099846
107.8664179,13.23776057,-2.993675732
111.9971838,17.74971218,-3.305474364
109.6392219,8.539631267,-1.051902104
110.2670068,16.43751265,-1.678912615
112.1927148,17.87985258,-2.505727998
106.8192664,14.46317346,-1.232367984
105.7866363,13.33726366,-1.292503103
108.2540691,15.70888756,-3.280527717
106.5506053,13.78121897,-2.565092551
108.163528,15.17781915,-1.566690974
115.2587187,19.61233375,-3.015141664
106.7727829,12.82530295,-1.084945766
113.9646185,19.10657446,-2.362998347
107.4830788,14.30363984,-1.279992289
103.8824581,12.54100008,-1.074185605
104.2571077,13.62966344,-1.25270566
105.4221842,13.98915994,-1.227286418
106.0846342,10.68412125,-1.130578593
107.243167,11.68803742,-2.008158049
103.6758934,12.35647844,-1.046416843
104.7610884,13.13655906,-1.186270356
106.9914034,14.22954366,-1.191290047
105.2119202,12.66839966,-2.135729776
107.1339341,13.41051168,-2.9531284
109.4180843,14.85618003,-1.502059214
106.1632647,15.2707877,-1.795175728
104.8479015,15.52934231,-2.657590687
108.2568104,13.71425621,-1.854069643
104.4445969,12.04644419,-2.224195774
102.3699588,11.15466103,-1.865069003
105.0000293,12.67439938,-0.983869962
106.2259696,13.01921281,-1.094999046
109.3189558,15.50592596,-1.82610628
106.2343368,12.89640139,-1.049402988
107.3966443,14.42978705,-1.236230823
103.8398258,12.29716937,-1.525651924
108.2002397,13.37683682,-1.604018639
109.9353149,14.02898274,-1.723599491
109.2560985,13.87983547,-2.542428183
105.3249738,13.69143548,-1.428769476
113.0385355,2.015330137,-1.712027669
109.9051907,10.34409603,-1.246199511
106.0701997,12.08394584,-1.234865363
105.8744825,13.78636596,-1.329674792
106.494439,13.64464097,-1.116118859
105.2534046,12.50230172,-0.990137994
106.2558303,11.18373528,-2.830752591
104.9970864,12.74494842,-2.917249724
105.2438667,12.78087085,-0.972877505
110.9094949,13.58788626,-1.976558009
104.1459953,12.20890809,-1.072178298
117.6795308,22.41466829,-3.511691226
107.0474118,13.53108956,-1.194433835
106.2661623,13.14234891,-1.105598407
104.4997869,12.3666851,-1.047998657
106.7186413,13.22665429,-1.380645852
110.7765425,14.06283894,-4.976483098
109.5674558,10.90096515,-4.888310708
101.8860156,11.02272556,-1.200418642
106.2218045,12.77123363,-1.33144615
105.526267,12.40836051,-1.420143571
103.888179,12.0618786,-3.078363865
105.6282643,10.76015597,-2.134905175
104.8948019,11.23303185,-2.967835565
106.6432059,14.17395776,-4.110294559
109.6542544,14.0708943,-1.687747933
106.0896957,12.62306864,-1.307681851
105.8895202,12.21246115,-3.246153892
109.7211259,14.68489398,-1.905974964
111.1372245,6.460851663,-1.528153632
105.4159387,11.47080103,-3.786323239
107.5761436,12.54171637,-2.119839803
107.5425722,11.71797516,-1.407757077
100.2084583,10.46946339,-1.206485902
106.6317401,13.78939056,-1.135364681
113.4655496,17.85399947,-2.081076732
112.543855,7.066409776,-2.050313282
106.040056,12.98117888,-1.293954394
105.2466971,13.66541089,-3.450125365
104.6605127,13.14129319,-1.829443547
105.3303626,12.47252458,-1.221666921
104.416354,11.98827335,-2.485611138
107.0268627,11.92144638,-1.084020554
109.6521853,15.72900078,-1.943554727
107.2287333,14.19481569,-1.251094913
106.2767514,12.88049638,-3.371367354
107.3569789,13.26269165,-1.364388136
107.1028222,13.22784258,-2.970165295
109.4615837,14.15139259,-1.776888908
105.7264076,13.26906796,-3.227893687
112.239562,6.008307138,-1.026187762
105.0156821,11.58675315,-3.632610872
104.1634792,12.59386956,-2.04359248
104.5913078,13.33551168,-0.99941694
104.6539092,12.60802909,-3.137418265
105.165244,13.82243435,-1.295057103
106.5041591,14.04471742,-1.181399347
109.6882471,12.56232206,-1.600401833
104.638941,12.02467739,-2.058354495
106.1353414,13.85980243,-1.14115514
104.5202554,12.18182234,-2.24749034
110.6716842,15.62779349,-2.097055796
106.5243014,14.09080535,-3.783985276
115.7945071,19.01513365,-2.680012651
110.5937688,13.21149703,-6.872831209
114.7727012,20.1954687,-2.412080526
110.511996,6.598402219,-1.806446337
107.4196141,13.48480561,-1.512321784
105.7144828,12.95828638,-1.016826821
106.583385,10.09209877,-2.036404353
113.9391671,18.04410465,-2.232596977
108.4234669,12.41432618,-1.244597503
105.5481517,12.68237697,-1.226101858
105.7968803,12.73264613,-1.007984127
103.4564129,12.86894545,-1.096913429
105.7668127,11.64356343,-5.189912279
106.260226,13.01664157,-2.530308996
106.0634528,14.02866156,-1.196690415
103.8252455,11.29215533,-1.956664143
111.1896915,15.45686945,-1.678902743
103.6912781,11.67499351,-1.901635844
114.0979063,20.84613585,-3.086183715
103.7973943,11.62373245,-1.004001984
103.8498561,12.00730103,-1.507386261
106.0951868,12.71096377,-1.02706021
107.9111214,13.90247946,-1.294040381
107.8704583,13.96879711,-2.292504322
108.1247243,13.81718151,-2.02680628
104.3806723,12.46445955,-2.726141747
106.8780842,13.2750884,-1.449039051
107.4750993,13.37028345,-1.176654731
105.537833,12.08762857,-2.819367318
108.0423781,15.04879768,-1.752633553
107.9134744,14.64598222,-1.340472732
104.0525082,11.93906535,-1.987535399
109.5044513,11.13047363,-1.928441239
103.8827932,12.55839419,-1.987824147
105.3925892,13.51413389,-1.194910416
105.9552516,13.27662488,-1.337384013
108.0253906,15.2310424,-1.647446566
106.9665174,13.98272443,-3.043357285
103.8875003,12.16989118,-1.182449675
109.6645605,11.99356092,-1.34635442
106.0229998,13.53172933,-1.497631211
104.6395354,13.14935232,-0.990703942
104.1786838,12.55636455,-1.553751079
106.2523724,12.54340744,-1.06504774
106.5271889,12.54177183,-1.313687122
105.3770454,13.58542133,-1.826699229
104.439581,13.19060744,-1.162470828
107.4389084,12.99932882,-1.193084653
106.783687,14.53634382,-1.467705861
109.9513594,15.30053073,-1.905144797
107.3423205,12.53092904,-4.393916059
109.7411035,15.0243156,-3.50467543
104.7225131,13.00940034,-1.657970969
99.02787132,9.938107623,-1.306381155
104.5889668,11.87882433,-3.958383296
104.6006364,12.64091866,-2.429687713
107.2474745,14.8036907,-1.5340867
104.9460888,13.14923367,-1.134848437
103.8352439,12.96907665,-1.172961186
106.137952,13.58365643,-6.410411942
109.3227309,12.28318291,-3.924039605
105.0615109,12.13534618,-3.401735046
105.5131002,12.02746503,-1.17674715
108.5391681,15.31718717,-1.755490165
112.661349,17.48599032,-2.281315624
106.1542716,13.92302542,-1.14681328
106.8440006,13.69210236,-2.537443482
106.9446707,13.733292,-1.352078458
104.3376497,12.51979795,-3.026669931
107.4753226,14.384846,-1.284459028
103.9099077,12.23856253,-1.056242157
105.7063967,12.55030104,-1.158664806
105.5357956,13.52139302,-3.41833389
106.5000915,12.91629526,-2.535824403
